Interlocutor	Text	Acts
user	Dzień dobry	hello()
system	Witam w twoim prywatnym asystencie kalendarza spotkań.	welcomemsg()
user	Chcialbym sprawdzic czy mam jakies spotkania w najblizszym tygodniu	meeting_list(date='najblizszym tygodniu')
system	Na ten tydzień zaplanowano następujące spotkania: Data: Środa 31.03.2021 14:00-15:00 Miejsce: Sala konferencyjna w biurze Spotkanie z: Jan Nowak - Prezes firmy ABC	inform(meeting_list)
system	Oraz: Data: Piątek 02.04.2021 16:00-17:15 Miejsce: Dom Spotkanie z: Kacper (Brat) Opis: Zaplanowanie imprezy urodzinowej dla mamy	inform(meeting_list)
user	Chciałbym dodać spotkanie do kalendarza	create_meeting()
system	Proszę podać dzień na jaki mam umówić spotkanie.	request(date)
user	12.04.2021	inform(date='12.04.2021')
system	Proszę podać godzinę i długość spotkania.	request(time, duration)
user	18:00 - 2 godziny	inform(time='18:00', duration='2 godziny')
system	Czy mam zapisać miejsce spotkania?	request(place)
user	Tak	confirm()
user	restauracja xyz	inform(place='restauracja xyz')
system	Czy mam zapisać naziwsko osoby, której dotyczy to spotkanie?	request(participant)
user	nie	negate()
system	Czy mam dodać opis do spotkania?	request(description)
user	nie	negate()
system	Proszę potwierdzić utworzenie spotkania: Data: Poniedziałek 12.04.2021 18:00-20:00 Miejsce: restauracja xyz	confirm-domain()
user	Spotkanie jednak będzie trwało 4 godziny	inform(duration='4 godziny')
system	Proszę potwierdzić utworzenie spotkania: Data: Poniedziałek 12.04.2021 18:00-22:00 Miejsce: restauracja xyz	confirm-domain()
user	Potwierdzam	confirm()
system	Spotkanie zostało pomyślnie dodane do kalendarza.	affirm(create_meeting)
user	Dziękuję	thankyou()
