Interlocutor	Text	Acts
user	Cześć	hello()
system	Witam w twoim prywatnym asystencie kalendarza spotkań.	welcomemsg()
user	Proszę dodać spotkanie na dziś na godzinę 9 w parku Cytadela	create_meeting(date='dziś',time='9',place='park Cytadela')
system	Czy chcesz podać czas trwania spotkania?	request(duration)
user	Nie, proszę dopisać opis: Opis .....	negate() & inform(description='Opis')
system	Czy chcesz dodać z kim ma być spotkanie?	request(participant)
user	Nie	negate()
system	Proszę potwierdzić utworzenie spotkania: Data: Wtorek 30.03.2021 09:00 Miejsce: Cytadela Opis: Opis .....	confirm-domain()
user	Tak	confirm()
user	zgadza się	confirm()
system	Spotkanie zostało dodane do kalendarza. Czy mogę pomóc w czymś jeszcze?	affirm(create_meeting) && reqmore()
user	Nie, dziękuję za rozmowę	bye() & thankyou()
