Interlocutor	Text	Acts
user	Cześć	hello()
system	Witam w twoim prywatnym asystencie kalendarza spotkań.	welcomemsg()
user	Proszę o dodanie spotkania biznesowego na dziś wieczór	request(create_meeting) & inform(date='dziś')
system	Proszę podać godzinę i długość spotkania.	request(time, duration)
user	na godzinę 19:00 i długość spotkania nieokreślona	inform(time=19:00', duration='null')
system	Czy mam zapisać miejsce spotkania?	request(place)
user	Tak, Cytadela Poznań	inform(place='Cytadela Poznań')
system	Czy mam zapisać naziwsko osoby, której dotyczy to spotkanie?	request(participants)
user	tak osoba XXX YYY	inform(participants=['XXX YYY'])
system	Czy mam dodać opis do spotkania?	request(description)
user	Nie, to wszystko. Proszę podać podsumowanie 	negate()
system	Proszę potwierdzić utworzenie spotkania: Data: Wtorek 30.03.2021 19:00- Miejsce: Cytadela Poznań Spotkanie z: XXX YYY	confirm-domain()
user	Tak wszystko się zgadza. Dziękuję za rozmowę	confirm(create_meeting) & bye()
system	Spotkanie zostało pomyślnie dodane do kalendarza.	inform(create_meeting)
