user	Dzień dobry, chciałbym sprawdzić dzisiejsze spotkania	welcomemsg() && request(view_meetings(date=dzisiaj))
system	Data: Wtorek 30.03.2021 12:00-15:30\nMiejsce: Restauracja ABC\nSpotkanie z: Jan Kowalski\n--------------------------------\nData: Wtorek 30.03.2021 19:00-20:30\nMiejsce: Firma ABC\nSpotkanie z: Adam Nowak	meeting_list(date=dzisiaj)
user	Chciałbym przełożyć spotkanie z 12:00	request(edit_meeting(date=dzisiaj 12:00))
system	Na jaki dzień chciałbyś przełożyć to spotkanie?	request(edit_details(date))
user	Na środę na 13:00	inform(date=środa 13:00)
system	Proszę potwierdzić zmianę spotkania:\nData: Środa 31.03.2021 13:00-16:30\nMiejsce: Restauracja ABC\nSpotkanie z: Jan Kowalski	confirm-domain()
user	Potwierdzam.	confirm()
system	Spotkanie zostało zmienione. Czy mogę pomóc w czymś jeszcze?	confirm() && request(action)
user	Tak, chciałbym umówić nowe spotkanie	request(create_meeting)
system 	Na jaki dzień chciałbyś umówić nowe spotkanie?	request(create_meeting_details(date))
user	Na wtorek	inform(date=wtorek)
system	Proszę podać godzinę spotkania.	request(create_meeting_details(time))
user	12:45	inform(time=12:45)
system	Czy chcesz podać miejsce spotkania?	request(create_meeting_details(place))
user	tak, gabinet dentystyczny SuperDent	inform(place=gabinet dentystyczny SuperDent)
system	Czy chciałbyś dodać uczestników spotkania?	request(create_meeting_details(participants))
user	tak, doktor Krzysztof Ząb	inform(participants=['Krzysztof Ząb'])
system	Proszę potwierdzić utworzenie spotkania:\nData: Wtorek 30.03.2021 12:45-13:45\nMiejsce: gabinet dentystyczny SuperDent\nSpotkanie z: doktor Krzysztof Ząb	confirm-domain()
user	Zatwierdzam	confirm()
system	Spotkanie zostało dodane do kalendarza. Czy mogę pomóc w czymś jeszcze?	confirm() && request(action)
user	To będzie wszystko	bye()
