Interlocutor	Text	Acts
system	Witam w twoim prywatnym asystencie kalendarza spotkań.	welcomemsg()
user	Jakie spotkania mam zaplanowane w najbliższy czwartek?	meeting_list(date='najbliższy czwartek')
system	Brak zaplanowanych spotkań na dzień 01.04.2021	inform(meeting_list)
user	To chciałbym zaplanować spotkanie tego dnia o godzinie 17.	create_meeting(date='tego dnia', time='17')
system	Czy mam zapisać miejsce spotkania?	request(place)
user	Tak, Centrum Handlowe ABC	inform(place='Centrum Handlowe ABC')
system	Czy mam z zapisać z kim ma być spotkanie?	request(participant)
user	Tak, spotkanie będzie z Januszem Kowalskim	inform(participant='Januszem Kowalskim')
system	Proszę potwierdzić utworzenie spotkania: Data: Czwartek 01.01.2021 17:00-18:00 Miejsce: Centrum Handlowe ABC Spotkanie z: Janusz Kowalski	confirm-domain()
user	Potwierdzam	confirm()
system	Spotkanie zostało dodane do kalendarza. Czy mogę pomóc w czymś jeszcze?	affirm(create_meeting) && reqmore()
user	Dziękuję, to wszystko.	bye() & thankyou()
