Interlocutor	Text	Acts
system	Witam w prywatnym asystencie kalendarza spotkań. W czym mogę pomóc?	welcomemsg()
user	Jakie wolne terminy mam w najbliższym tygodniu?	free_time(date='najbliższym tygodniu')
system	Wolne terminy w nadchodzącym tygodniu: 30.03.2021 00:00-24:00 31.03.2021 00:00-24:00 01.04.2021 00:00-24:00 02.04.2021 00:00-08:00 10:00-12:00 16:00-24:00 03.04.2021 00:00-24:00 04.04.2021 00:00-10:00 14:00-24:00 05.04.2021 00:00-24:00	inform(free_time)
user	Ooo, ale ja się obijam. Nie mam ustalonych żadnych spotkań!	null()
user	zapisz mi proszę spotkanie z 3 marca od 17-19, mam wizytę u lekarza	create_meeting(date='3 marca', time='17', description='wizytę u lekarza')
system	W jakim miejscu odbędzie się to spotkanie?	request(place)
user	w przychodni przy ulicy dialogowej	inform(place='przychodni przy ulicy dialogowej')
user	Czy możesz dodać notatkę, żebym pamiętała o poprzednich wynikach?	request(create_note)
system	Spotkanie zostało dodane: Data: Sobota 03.03.2022 17:00-19:00 Miejsce: Przychodnia przy ulicy dialogowej Spotkanie z: brak Opis: wizyta u lekarza	affirm(create_meeting)
system	Niestety asystent kalendarza spotkań nie obsługuje obecnie dodawania notatek. Weźmiemy pod uwagę twoje uwagi przy dalszym jego rozwoju.	canthelp()
user	Dobrze. dziękuję. To wszystko	thankyou() & bye()
system	Miłego dnia. Do widzenia.	bye()
