Interlocutor	Text	Acts
user	cześć operatorze	hello()
system	Cześć, witam w twoim prywatnym asystencie kalendarza spotkań.	welcomemsg()
user	Chciałbym umówić nowe spotkanie	request(create_meeting)
system	Proszę podać dzień na jaki mam umówić spotkanie.	request(date)
user	jutro	inform(date='jutro')
system	Proszę podać godzinę i długość spotkania.	request(time, duration)
user	Godzina 18:30, czas trwania 2 godziny	inform(time='18:30', duration='2 godziny')
system	Niestety, godzina ta jest już zajęta przez inne spotkanie, proponuję godzinę 19:00.	offer(time='19:00')
user	Akceptuje i proszę zmienić czas trwania na 1,5h	ack() & inform(duration='1,5 godziny')
system	Czy mam zapisać miejsce spotkania?	request(place)
user	Tak	ack()
system	Gdzie ma się odbyć spotkanie?	request(place)
user	Restauracja ABC	inform(place='Restauracja ABC')
system	Czy mam zapisać naziwsko osoby, której dotyczy to spotkanie?	request(participants)
user	tak, Jan Kowalski	inform(participants=['Jan Kowalski'])
system	Czy mam dodać opis do spotkania?	request(description)
user	Nie, Dziękuję	negate() & thankyou()
system	Proszę potwierdzić utworzenie spotkania: Data: Wtorek 30.03.2021 19:00-20:30 Miejsce: Restauracja ABC Spotkanie z: Jan Kowalski	confirm-domain()
user	Dziękuję	thankyou()
