system	Witam w prywatnym asystencie kalendarza spotkań. W czym mogę pomóc?	welcomemsg()
user	Chciałbym przesunąć spotkanie	request(update_meeting)
system	Jakie spotkanie chcesz przesunąć?	request(meeting)
user	Dzisiejsze o godzinie 20:00	inform(meeting=Dzisiejsze o godzinie 20:00)
system	Na kiedy chcesz przesunąć to spotkanie? Data: Poniedziałek 29.03.2021 20:00-20:30 Miejsce: Firma ABC Spotkanie z: Jan Nowak - Prezes firmy ABC	request(time)
user	na środę o godzinie 19:00, proszę też zmienić miejsce na Restauracja ABC	request(update_meeting) & inform(time=19:00) & inform(place=Restauracja ABC)
system	Spotkanie zostało zmienione: Data: Środa 31.03.2021 19:00-20:30 Miejsce: Restauracja ABC Spotkanie z: Jan Nowak - Prezes firmy ABC	affirm()
user	proszę też zmienić czas trwania na 1 godzinę	request(update_meeting)
system	Spotkanie zostało zmienione: Data: Środa 31.03.2021 19:00-20:00 Miejsce: Restauracja ABC Spotkanie z: Jan Nowak - Prezes firmy ABC	affirm()
user	Dziękuje	thankyou()
system	Czy mogę jeszcze w czymś pomóc?	reqmore()
user	To wszystko	bye()
system	Do widzenia. Życzę miłego dnia.	bye()
