Interlocutor	Text	Acts
system	Witam w twoim prywatnym asystencie kalendarza spotkań.	welcomemsg()
user	Proszę stworzyć w moim kalendarzu spotkanie online 24.04.2021 o godzinie 17.00.	create_meeting(date='24.04.2021', time='17:00')
system	Czy chcesz dodać uczestników spotkania?	request(participant)
user	Tak, proszę zaprosić Jan Nowak, Grażyna Kowalska i Hubert Noga.	confirm() & inform(participant='Jan Nowak',participant='Grażyna Kowalska',participant='Hubert Noga')
system	Proszę potwierdzić utworzenie spotkania: Data: Sobota 24.04.2021 17:00 Miejsce: spotkanie online Spotkanie z: Jan Nowak, Grażyna Kowalska, Hubert Noga	confirm-domain()
user	Proszę dodać opis "Omówienie projektu XYZ" oraz dodać powiadomienie 30 min przed spotkaniem.	inform(description='Omówienie projektu XYZ')
system	Proszę potwierdzić utworzenie spotkania: Data: Sobota 24.04.2021 17:00 Miejsce: spotkanie online Spotkanie z: Jan Nowak, Grażyna Kowalska, Hubert Noga Opis: Omówienie projektu XYZ Przypomnienie: 30 min	confirm-domain()
user	Tak, potwierdzam, dziękuję.	confirm() & thankyou()
system	Spotkanie zostało dodane do kalendarza. Czy mogę pomóc w czymś jeszcze?	affirm(create_meeting) && reqmore()
user	Nie, dziękuję. To wszystko.	thankyou() & bye()
