Interlocutor	Text	Acts
user	Dzień dobry	hello()
system	Dzień dobry, witam w twoim prywatnym asystencie kalendarza spotkań.	welcomemsg()
user	Chciałbym anulować spotkanie	request(cancel_meeting)
system	Proszę podać datę i godzinę spotkania do odwołania.	request(date, time)
user	Spotkanie o 19:00 w piątek	inform(date='next friday', time='19:00')
system	Czy jesteś pewien, że chcesz odwołać poniższe spotkanie? Data: Piątek 2.04.2021 19:00-20:00 Miejsce: Gabinet Dentystyczny MegaDent Spotkanie z: doktor Emilia Ząb Opis: Wizyta u dentysty	confirm-domain()
user	Tak	ack(cancel_meeting)
system	Spotkanie zostało pomyślnie odwołane.	inform(cancel_meeting)
user	Proszę wpisać nowe spotkanie na ten termin: Wyjście do Kina z Tomkiem	request(create_meeting)
system	Proszę potwierdzić utworzenie spotkania: Data: Piątek 2.04.2021 19:00-20:00 Miejsce: Kino Spotkanie z: Tomek Opis: Wyjście do Kina	confirm-domain()
user	Tak, zgadza się	ack(create_meeting)
system	Spotkanie zostało pomyślnie dodane do kalendarza.	affirm(create_meeting)
user	Dziękuję	bye()
