Interlocutor	Text	Acts
user	Dzień dobry!	hello()
system	Dzień dobry, witam w twoim prywatnym asystencie kalendarza spotkań.	welcomemsg()
user	Proszę o rozpiskę spotkań na następny tydzień	meeting_list(date='następny tydzień')
system	Na następny tydzień zaplanowano następujące spotkania:	inform(meeting_list)
system	Data: Czwartek 08.03.2021 13:00-13:30 Miejsce: Urząd Miasta Spotkanie z: Brak Opis: Złożenie wniosku w urzędzie	inform(meeting_list)
system	Data: Czwartek 08.03.2021 18:00-18:30 Miejsce: Sklep spożywczy Spotkanie z: Brak Opis: Zakupy	inform(meeting_list)
user	Chciałabym dodać spotkanie do kalendarza.	create_meeting()
system	Proszę podać dzień na jaki mam umówić spotkanie.	request(date)
user	Czwartek	inform(date='Czwartek')
system	Proszę podać godzinę i długość spotkania.	request(time, duration)
user	Spotkanie rozpocznie się o 12:00 i będzie trwało 2 godziny.	inform(time=12:00, duration='2 godziny')
system	Czy mam zapisać miejsce spotkania?	request(place)
user	Restauracja w hotelu Anderisa.	inform(place='Restauracja w hotelu Anderisa')
system	Czy mam zapisać nazwisko osoby, której dotyczy to spotkanie?	request(participant)
user	Hanna Kowalska.	inform(participant='Hanna Kowalska')
system	Czy mam dodać opis do spotkania?	request(description)
user	Nie.	negate()
system	Proszę potwierdzić utworzenie spotkania: Data: Czwartek 1.04.2021 12:00-14:00 Miejsce: Restauracja w hotelu Anderisa Spotkanie z: Hanna Kowalska.	confirm-domain()
user	Potwierdzam.	confirm()
system	Spotkanie zostało pomyślnie dodane do kalendarza.	affirm(create_meeting)
user	Dziękuje	thankyou()
