Interlocutor	Text	Acts
user	Chciałbym umówić spotkanie dzisiaj o godzinie 17.00	create_meeting(date='dzisiaj', time='17.00')
system	Niestety, godzina ta jest już zajęta przez inne spotkanie, proponuję godzinę 18:00.	offer(time='18:00')
user	Ok, może być godzina 18	confirm()
system	Proszę podać długość spotkania.	request(duration)
user	45 minut	inform(duration=45 minut)
system	Czy mam zapisać miejsce spotkania?	request(place)
user	Tak, proszę dodać restaurację Bankcook w Poznaniu jako miejsce spotkania.	inform(place='resturacja Bankcook w Poznaniu')
system	Czy mam zapisać naziwsko osoby, której dotyczy to spotkanie?	request(participant)
user	Tak, proszę dodać Jan Nowak do spotkania oraz wysłać mu powiadomienie o zaproszeniu.	inform(participant='Jan Nowak')
system	Czy mam dodać opis do spotkania?	request(description)
user	Tak, opis to "Omówienie zakupu akcji firmy GameStop".	inform(description='Omówienie zakupu akcji firmy GameStop')
system	Proszę potwierdzić utworzenie spotkania: Data: Wtorek 30.03.2021 18:00-18:45 Miejsce: Bankcook w Poznaniu Spotkanie z: Jan Nowak Opis: Omówienie zakupu akcji firmy GameStop	confirm-domain()
user	Zgadza się, Proszę również wysłać mi powiadomienie 2 godziny przed spotkaniem.	confirm()
system	Powiadomienie zostanie wysłane 2 godziny przed spotkaniem.	affirm(create_meeting)
user	Dziękuję!	bye()
