Interlocutor	Text	Acts
user	Dzień dobry!	hello()
system	Dzień dobry. Witam w twoim prywatnym asystencie kalendarza spotkań.	welcomemsg()
user	Podaj mi proszę moje spotkania na najbliższy tydzień	meeting_list(date='najbliższy tydzień')
system	Na najbliższy tydzień zaplanowano następujące spotkania:	inform(meeting_list) 
system	Data: Wtorek 30.03.2021 10:00-11:30 Miejsce: Platforma MS Teams Spotkanie z: Marek Kubis Opis: Odrabianie zajęć z Systemów Dialogowych	inform(meeting_list) 
system	Data: Piątek 02.03.2021 18:00-20:00 Miejsce: Brak Spotkanie z: Jan Nowak Opis: Piątkowe Kręgle	inform(meeting_list) 
user	hmm. myślałam, że miałam umówioną wizytę u lekarza w tym tygodniu. Jakie spotkania mam w przyszłym tygodniu?	meeting_list(date='przyszłym tygodniu')
system	Na następny tydzień zaplanowano następujące spotkania:	inform(meeting_list) 
system	Data: Środa 7.04.2021 16:15 Miejsce: Przychodnia lekarska SuperMed Spotkanie z: doktor Adam Kowalski Opis: Wizyta u lekarza rodzinnego	inform(meeting_list)
user	Ok. czyli w przyszłym. Zmień proszę godzinę tego spotkania na 17:30	update_meeting(time='17:30')
system	Czas spotkania został pomyślnie zmieniony.	affirm(update_meeting)
user	Bardzo dziękuję	thankyou()
user	To wszystko na tę chwilę	bye()
system	Miłego dnia	bye()
user	Dziękuję!	thankyou()
