Interlocutor	Text	Acts
user	Hej	hello()
system	Hej, witam w twoim prywatnym asystencie kalendarza spotkań.	welcomemsg()
user	Jakie mam spotkania jutro?	meeting_list(date='jutro')
system	Na jutro zaplanowano następujące spotkania:	inform(meeting_list)
system	Data: Wtorek 30.03.2021 10:00-11:30 Miejsce: Platforma MS Teams Spotkanie z: Marek Kubis Opis: Odrabianie zajęć z Systemów Dialogowych	inform(meeting_list)
user	Czy moge przesunąć to spotkanie?	update_meeting()
system	Obecny czas spotkania to: Wtorek 30.03.2021 10:00-11:30, jaki ma być nowy czas spotkania?	request(date, time)
user	Ten sam dzień ale o 13 początek	inform(date='ten sam dzień', time='13')
system	Czas został pomyślnie zmieniony	affirm(update_meeting)
user	Chciałbym dodać nowe spotkanie 	create_meeting()
system	Proszę podać dzień na jaki mam umówić spotkanie.	request(date)
user	pierwszy kwietnia	inform(date='pierwszy kwietnia')
system	Proszę podać godzinę i długość spotkania.	request(time)
user	18:30 bez ustalonego czasu spotkania	inform(time='18:30')
system	Czy mam zapisać miejsce spotkania?	request(place)
user	nie	negate()
system	Czy mam zapisać naziwsko osoby, której dotyczy to spotkanie?	request(participant)
user	nie	negate()
system	Czy mam dodać opis do spotkania?	request(description)
user	Tak. Spotkanie rekreacyjne	inform(description='Spotkanie rekreacyjne')
system	Proszę potwierdzić utworzenie spotkania: Data: Czwartek 1.04.2021 18:30 Miejsce: Brak Spotkanie z: Brak Opis: Spotkanie rekreacyjne	confirm-domain()
user	Tak zgadza się	confirm()
system	Spotkanie zostało pomyślnie dodane do kalendarza.	affirm(create_meeting)
user	To by było wszystko	bye()
system	Miłego dnia	bye()
