Interlocutor	Text	Acts
system	Witam w prywatnym asystencie kalendarza spotkań. W czym mogę pomóc?	welcomemsg()
user	Chciałbym zapisać spotkanie	create_meeting()
system	Proszę podać dzień, na jaki mam umówić spotkanie.	request(date)
user	08.04.2021	inform(date='08.04.2021')
system	Proszę o podanie godziny i czasu trwania spotkania.	request(time) & request(meeting_length)
user	17:00 - 19:00	inform(time='17:00', meeting_length='2 godziny')
system	Jakie będzie miejsce tego spotkania?	request(place)
user	Kawiarnia MCafe przy ulicy Grunwaldzkiej	inform(place='Kawiarnia MCafe przy ulicy Grunwaldzkiej')
system	Z jaką osobą będzie to spotkanie?	request(participant)
user	Sylwia Kowalska	inform(participant='Sylwia Kowalska')
system	Czy mam dodać opis do spotkania?	request(description)
user	tak	confirm()
system	Jaki ma być opis spotkania?	request(description)
user	Intensywne rozmowy o przyrodzie przy Yerbie	inform(description='Intensywne rozmowy o przyrodzie przy Yerbie')
system	Spotkanie zostało dodane: Data: Czwartek 08.04.2021 17:00-19:00 Miejsce: Kawiarnia MCafe przy ulicy Grunwaldzkiej Z: Sylwia Kowalska Opis: Intensywne rozmowy o przyrodzie przy Yerbie	affirm()
user	Ok, koniec zapisu	bye()
system	Do widzenia. Życzę miłego dnia.	bye()
